species,n_records,n_presence_patches,auc_mean,auc_std,accuracy_mean,precision_mean,recall_mean,f1_mean,mcc_mean,kappa_mean,tss_mean
Passiflora caerulea,758,402,0.977659317725645,0.008889149992985412,0.930986242526267,0.8682809643130927,0.8532407407407409,0.8604323228494642,0.8148817678424869,0.8146079728138963,0.8101352230973127
Sempervivum grandiflorum,102,65,0.9775147928994083,0.01551053510953649,0.9461538461538461,0.9184848484848486,0.8615384615384615,0.8849026915113871,0.8541820546815698,0.8501100587108288,0.8358974358974358
Sicyos angulatus,125,65,0.9775147928994082,0.016293393631608186,0.9384615384615385,0.8814976689976689,0.8769230769230768,0.8758231653404067,0.8380023296305804,0.8350679192784456,0.8358974358974359
Campanula martinii,76,43,0.9767649572649573,0.020468647238163818,0.9183193277310924,0.9016666666666666,0.7666666666666666,0.8188358339287131,0.7784956257257826,0.7675569533458935,0.7355897435897436
Campanula raineri,72,48,0.9764285714285714,0.010690678067978382,0.9168690958164643,0.8954545454545455,0.7711111111111111,0.8205847953216374,0.7770205387384026,0.767405532446044,0.7366283524904214
Diospyros lotus,729,194,0.9763272244634802,0.011171477320886402,0.9342679900744418,0.9151542649727767,0.8139001349527664,0.8601187763371365,0.8208689394894456,0.8174304074745796,0.7881264833170458
Euphorbia carniolica,75,57,0.9760020371785079,0.012534111326617406,0.9256038647342996,0.8939393939393939,0.806060606060606,0.8441786283891547,0.8000795003008007,0.7955509217298274,0.7712706900942197
Campanula excisa,80,61,0.9759422884422884,0.02939035199815309,0.9261054421768706,0.9666666666666666,0.7423076923076923,0.8221690590111642,0.8011455143257056,0.7794345763116262,0.7314968814968816
Soldanella alpicola,102,76,0.9756352657004831,0.012085377971273228,0.9243169398907105,0.8195261437908495,0.8949999999999999,0.8554316888045541,0.8058762060243346,0.8042721413947728,0.8291062801932367
Campanula carnica,32,27,0.9747303921568629,0.028279300877700055,0.9264069264069266,0.9095238095238095,0.8133333333333332,0.8538461538461538,0.8105600390398184,0.804596191821204,0.7758333333333333
Vicia onobrychioides,210,122,0.9745254226829569,0.014282742945506752,0.9322743530401851,0.9206666666666667,0.8019999999999999,0.8536744754008805,0.8159309508044034,0.8100623184863112,0.7773424657534247
Murbeckiella pinnatifida,102,37,0.9744635798983626,0.021362339514603704,0.8919540229885058,0.7722727272727272,0.8642857142857142,0.8081602762562516,0.7431494767074103,0.7345643247123202,0.7650762281197064
Festuca valesiaca,273,49,0.9739667943805875,0.014819010283636786,0.9030769230769231,0.9492063492063492,0.6533333333333333,0.7684210526315789,0.7337139803579174,0.7102901822958521,0.6397701149425288
Pedicularis cenisia,79,47,0.9739463601532566,0.027007197499484836,0.926031294452347,0.8464141414141414,0.8577777777777778,0.8497911445279864,0.8028401428519502,0.8011358792803666,0.8080240831964971
Zantedeschia aethiopica,73,59,0.9736435786435786,0.013258144602063322,0.9236702127659573,0.9092307692307692,0.7954545454545455,0.833203615098352,0.7993422284717298,0.7850311713894259,0.7614862914862914
Chorispora tenella,159,57,0.9732951362363128,0.014404031591358507,0.956328502415459,0.9525641025641025,0.8787878787878787,0.9092091097308488,0.8858981006364249,0.8806927297434541,0.8611408199643495
Sciuro-hypnum glaciale,24,22,0.9731318681318684,0.017456970059174116,0.9215686274509803,0.85,0.8699999999999999,0.8465800865800865,0.806210887646758,0.7950535250846613,0.8106593406593406
Primula matthioli,372,83,0.9728775510204082,0.019338848521852327,0.9065128900949798,0.8480158730158731,0.7602941176470588,0.7975636002201467,0.7424831024218284,0.7375166318165157,0.7159675870348139
Crocus biflorus,195,100,0.9728333333333333,0.021842873233874543,0.9375,0.9134502923976608,0.8300000000000001,0.8693438377648904,0.8303400230086124,0.8283921375619059,0.8033333333333331
Primula glaucescens,124,74,0.9727542087542087,0.020288271545257308,0.9255367231638418,0.8815251415251414,0.8104761904761905,0.8418665880734848,0.7966624542398929,0.7935515285153938,0.7744155844155844
Nelumbo nucifera,155,29,0.972549019607843,0.023529411764705903,0.9134057971014492,0.9166666666666667,0.7666666666666667,0.777056277056277,0.7670785237325609,0.7363021683104554,0.7313725490196079
Campanula sibirica,41,22,0.9723626373626374,0.018512162407073637,0.9320261437908496,0.85,0.9099999999999999,0.8695959595959597,0.8335910991547483,0.8244747768268794,0.8506593406593407
Artemisia genipi,63,36,0.9712739641311071,0.013314336663386786,0.9096059113300493,0.8722222222222221,0.775,0.7955128205128206,0.7587628232942977,0.7402443098547928,0.7286796536796537
Tradescantia fluminensis,25,23,0.9708241758241758,0.037774235761064014,0.9345029239766081,0.96,0.78,0.8444444444444444,0.8226837124168492,0.8047074698165873,0.7657142857142858
